kind,games,baseline_mae,adjusted_mae,volume,rate
pass,1088,58.66118967826927,58.20452926926491,0.1625982600828657,0.19689280489870825
rush,1088,39.93806584373826,39.59973062339556,0.13690914296881798,0.07072270616991844
