position,stat,threshold,games,brier,frequency_brier,mean_probability,observed_rate,eligible_test_games,evaluated_games
K,fg_att,1,1018,0.09564109969078133,0.09575648710968455,0.8830617000306771,0.8929273084479371,1023,1018
K,fg_att,2,1018,0.23327162975362795,0.23189795345745726,0.5954904737972312,0.6404715127701375,1023,1018
K,fg_att,3,1018,0.2145587166025503,0.21378345642630187,0.3222950348869844,0.3094302554027505,1023,1018
K,fg_att,4,1018,0.11843835171936,0.11816517474222238,0.12016265363000869,0.13654223968565815,1023,1018
K,fg_att,5,1018,0.045110229747395855,0.04518470681315972,0.03270695585768461,0.047151277013752456,1023,1018
K,fg_made,1,1020,0.13921662770029591,0.13894049742370193,0.8406651032506025,0.8333333333333334,1023,1020
K,fg_made,2,1020,0.2511161414268249,0.25009503256316395,0.4956517490717217,0.5323529411764706,1023,1020
K,fg_made,3,1020,0.17884790476493465,0.1783661150746466,0.23446029574620544,0.2323529411764706,1023,1020
K,fg_made,4,1020,0.08637284010413251,0.08628293177710594,0.07721321086574165,0.09509803921568627,1023,1020
K,fg_made,5,1020,0.023957327657942576,0.023943081493397987,0.020826004820532863,0.024509803921568627,1023,1020
K,pat_att,1,1021,0.08463497066779689,0.08534788543542118,0.8968423895535937,0.9059745347698335,1023,1021
K,pat_att,2,1021,0.2139637674291691,0.21932265782759577,0.6563218914424982,0.6767874632713027,1023,1021
K,pat_att,3,1021,0.2315566571172387,0.24142213402755522,0.36596099843486124,0.4005876591576885,1023,1021
K,pat_att,4,1021,0.1547341725141765,0.16141596097957053,0.17263545283270587,0.2007835455435847,1023,1021
K,pat_att,5,1021,0.07124416513381675,0.07349737158411776,0.06094767360512298,0.07933398628795299,1023,1021
K,pat_made,1,1021,0.09720985138516902,0.09799349130344934,0.8754055206119985,0.8903036238981391,1023,1021
K,pat_made,2,1021,0.2232661059830296,0.22854046042092732,0.6248206272919845,0.6493633692458374,1023,1021
K,pat_made,3,1021,0.2269460700354638,0.2361587927020193,0.34608926822442987,0.3770812928501469,1023,1021
K,pat_made,4,1021,0.1475765067618272,0.15306297926777784,0.15647645295960902,0.18707149853085211,1023,1021
K,pat_made,5,1021,0.06585775977353363,0.06767573745238802,0.05458624695351115,0.07247796278158668,1023,1021
QB,attempts,15,1193,0.10084856602496103,0.1234735569936223,0.9089609098478667,0.856663872590109,1193,1193
QB,attempts,20,1193,0.1303480082011348,0.15519771063736504,0.8673922911334946,0.8097233864207879,1193,1193
QB,attempts,25,1193,0.1861969113156844,0.21483524132990314,0.7512413218859739,0.6923721709974854,1193,1193
QB,attempts,30,1193,0.2344177550577247,0.25299743370882244,0.5653424043353672,0.5071248952221291,1193,1193
QB,attempts,35,1193,0.2006097463549569,0.21011407744979765,0.33917536682697796,0.2933780385582565,1193,1193
QB,attempts,40,1193,0.11774987810050375,0.12034125640693508,0.16373892000122528,0.1374685666387259,1193,1193
QB,attempts,45,1193,0.05438539908312557,0.05524315427654657,0.05142818155742384,0.0586756077116513,1193,1193
QB,attempts,50,1193,0.01882692998962419,0.018977612735993313,0.022187845488494624,0.019279128248113998,1193,1193
QB,carries,1,1193,0.09018737573724528,0.09643988306722376,0.8870111642387906,0.8918692372170998,1193,1193
QB,carries,3,1193,0.20451071527172562,0.24406708241443634,0.5349129612663015,0.5808885163453479,1193,1193
QB,carries,5,1193,0.16893377957142353,0.20906431984153495,0.2546290236791027,0.297569153394803,1193,1193
QB,carries,10,1193,0.033702244357931205,0.039341067865063466,0.04297633203654764,0.040234702430846606,1193,1193
QB,carries,15,1193,0.0024386491166425548,0.0025799147454913817,0.005763130999490383,0.002514668901927913,1193,1193
QB,carries,20,1193,2.7593514420370645e-06,1.9270481245582245e-07,0.0016611295681063125,0.0,1193,1193
QB,carries,25,1193,2.7593514420370645e-06,1.9270481245582245e-07,0.0016611295681063125,0.0,1193,1193
QB,carries,30,1193,2.7593514420370645e-06,1.9270481245582245e-07,0.0016611295681063125,0.0,1193,1193
QB,completions,10,1192,0.1006548996562774,0.12542528982118334,0.8909145131441057,0.8531879194630873,1193,1192
QB,completions,15,1192,0.16446282761001868,0.19350200122525082,0.7759063747240741,0.738255033557047,1193,1192
QB,completions,20,1192,0.23262649367027002,0.2520194015825974,0.5286600593101295,0.47651006711409394,1193,1192
QB,completions,25,1192,0.15752396617101802,0.16502285797232666,0.2374718499855069,0.20553691275167785,1193,1192
QB,completions,30,1192,0.05197201402802419,0.053371982693359264,0.0646251867377199,0.05620805369127517,1193,1192
QB,completions,35,1192,0.009062950917841775,0.009219942352135488,0.01482753238645232,0.009228187919463088,1193,1192
QB,completions,40,1192,0.00173763212385836,0.0016849656138825978,0.005214720506588775,0.0016778523489932886,1193,1192
QB,passing_interceptions,1,1193,0.24380634078699923,0.24588738014937409,0.4595620076136266,0.4266554903604359,1193,1193
QB,passing_interceptions,2,1193,0.11630163723770166,0.11581362824754637,0.15277797116624384,0.13327745180217937,1193,1193
QB,passing_interceptions,3,1193,0.028852669164364672,0.02860905935154642,0.042358107788233124,0.02933780385582565,1193,1193
QB,passing_interceptions,4,1193,0.004188868960393783,0.004173956031757969,0.005910725076790691,0.004191114836546521,1193,1193
QB,passing_interceptions,5,1193,0.0008381975248400147,0.0008376797432654745,0.0016611295681063125,0.0008382229673093043,1193,1193
QB,passing_tds,1,1192,0.1990373715447827,0.21359044068041733,0.7289014247809316,0.6912751677852349,1193,1192
QB,passing_tds,2,1192,0.22948614801872272,0.23901629387217996,0.3808251020089634,0.39177852348993286,1193,1192
QB,passing_tds,3,1192,0.12606885978190827,0.13110993564336965,0.13784588285134564,0.15436241610738255,1193,1192
QB,passing_tds,4,1192,0.048654588386619436,0.04952411637096496,0.03990334232647327,0.05201342281879195,1193,1192
QB,passing_tds,5,1192,0.010745192302350248,0.010824031437547536,0.006429909251042385,0.010906040268456376,1193,1192
QB,passing_yards,100,1193,0.11057438011990953,0.13437577247694732,0.8879078678782377,0.8407376362112322,1193,1193
QB,passing_yards,125,1193,0.13004105174801192,0.15749996359284354,0.8465007672107225,0.8046940486169321,1193,1193
QB,passing_yards,150,1193,0.16467313740516398,0.19438544669143193,0.7881370564171398,0.7376362112321878,1193,1193
QB,passing_yards,175,1193,0.20155348618126512,0.22889200842533483,0.6923902721579088,0.6487845766974015,1193,1193
QB,passing_yards,200,1193,0.2251332336537478,0.24802544020510103,0.5875901228929553,0.5532271584241408,1193,1193
QB,passing_yards,225,1193,0.2287504866566137,0.2460772497942958,0.4668581676613022,0.4291701592623638,1193,1193
QB,passing_yards,250,1193,0.20412434130719131,0.21757585718978903,0.34440520979244926,0.31852472757753564,1193,1193
QB,passing_yards,275,1193,0.16323266806025402,0.17019447791641068,0.24002556440810602,0.2162615255658005,1193,1193
QB,passing_yards,300,1193,0.10675084882785109,0.11068744375688752,0.16572169326608985,0.12405699916177704,1193,1193
QB,passing_yards,325,1193,0.07000796340036955,0.0715655032316119,0.09149022676576819,0.07711651299245599,1193,1193
QB,passing_yards,350,1193,0.039529420991478596,0.040280169944103,0.052391720250742846,0.041911148365465216,1193,1193
QB,passing_yards,375,1193,0.021125282391749028,0.02132435094323236,0.025568585296845105,0.02179379715004191,1193,1193
QB,passing_yards,400,1193,0.010805391264793535,0.010785508570707902,0.01320131553664371,0.010896898575020955,1193,1193
QB,passing_yards,425,1193,0.0074954462837170405,0.007487101281571775,0.008057801182423495,0.0075440067057837385,1193,1193
QB,rushing_tds,1,1191,0.11484486268211501,0.11882588270157672,0.11944930277189664,0.1376994122586062,1193,1191
QB,rushing_tds,2,1191,0.025821410734109724,0.026196888117775378,0.011231802193081555,0.02686817800167926,1193,1191
QB,rushing_tds,3,1191,0.0024988626421356755,0.0025139915489124894,0.0020098133565417263,0.0025188916876574307,1193,1191
QB,rushing_tds,4,1191,2.759351442037064e-06,1.9270481245582243e-07,0.0016611295681063128,0.0,1193,1191
QB,rushing_tds,5,1191,2.759351442037064e-06,1.9270481245582243e-07,0.0016611295681063128,0.0,1193,1191
